Day,Week,Date,Platform,ContentPillar,PostIdeaHook,Format,CallToAction,Funnel,categoryId,channel,language,angle,notes,imageHints,subjectMode,production,compliance,id
"Thu 2026-08-20","2","2026-08-20","instagram","education","Story text: ""Myth: whitening ruins enamel."" Next frame: ""Truth: unsupervised products and overuse are the real risk - ask us what fits your teeth.""","story","Reply WHITEN for booking info","tof","whitening","organic","en","myth-bust","IMAGE-ONLY Instagram Story still(s) - static frames, no video clips. IG Stories myth-bust on whitening/enamel. Keep accurate and cautious: do not claim all professional whitening is risk-free; emphasize assessment for sensitivity. CTA: reply WHITEN for a DM with booking link. No shade-number promises.","close-up of healthy smile mid-laugh, non-identifiable crop, bright natural light","people","ai-image","no-guaranteed-results","w2-thu-story-whitening-faq"
"Fri 2026-08-21","2","2026-08-21","instagram; facebook","conversion","Slide 1: ""Replacing a missing tooth feels like a big decision - the consult should not."" Slide 2: ""What we walk through together."" Slide 3: ""Beautifi financing may be available - ask the team (no rates in this post).""","carousel","Book an implant consult at LE 32","bof","implants","organic","both","financing-friendly","IMAGE-ONLY carousel (still slides, no video). Organic carousel soft conversion for dental implants. Empathy first for adults considering implants. Outline consult topics: health history, options, timeline discussion as individualized (no fixed months), and that Beautifi financing may be available - NEVER state rates, monthly payments, or approval likelihood. CTA: book an implant consult at LE 32, Vaudreuil-Dorion. Include short disclaimer that treatment plans vary. Language: both. Studio angle: financing-friendly + soft-cta.","calm consult desk scene, brochure and tablet, no surgical imagery","service","ai-or-design","financing-no-rates; no-timeline-promises; no-guaranteed-results; disclaimer-results-vary; odq-review-before-publish","w2-fri-implants-financing"
"Mon 2026-08-24","3","2026-08-24","instagram; facebook","transformations","Slide 1: ""Before / after - same person, consented share."" Slide 2: close natural lighting comparison. Caption open: ""She wanted her smile to match how confident she already felt at work.""","carousel","Ask about a cosmetic consult","mof","veneers","organic","both","transformation","IMAGE-ONLY carousel (still slides, no video). Organic before/after carousel. ONLY publish with written patient consent on file. Prefer veneers or smile-makeover case; if veneers case unavailable, swap categoryId to matching treatment (invisalign/whitening) but keep transformation angle. Caption: emotional benefit + process curiosity; NEVER claim typical results, shade numbers, or timelines. On-image or studio disclaimer: results vary; individual assessment required. Geotag LE 32. CTA: ask about a cosmetic consult. Language: both. ODQ review before publish.","side-by-side smile crop, consistent lighting, consented patient photos only - do not AI-fake a real B&A","people","ai-or-design","patient-consent; disclaimer-results-vary; no-guaranteed-results; no-timeline-promises; odq-review-before-publish","w3-mon-before-after"
"Tue 2026-08-25","3","2026-08-25","google-business","social-proof","GBP: ""If your visit at LE 32 went well, a Google review helps neighbours in Vaudreuil-Dorion find thoughtful dental care.""","static","Leave a Google review or book a consult","mof","smile-makeover","organic","both","social-proof","IMAGE-ONLY static post. GBP review-ask post. Thank patients generally without inventing quotes or star counts. Invite honest Google reviews. Soft line: new patients exploring Invisalign, cosmetic dentistry, or implants can book a consult with Dr. Peeling. CTA: leave a review / book. Pair with friendly team or clinic photo (consented staff OK).","team or reception welcome moment, consented staff only, bright and calm","people","phone-photo","no-invented-reviews; patient-consent","w3-tue-gbp-reviews"
"Tue 2026-08-25","3","2026-08-25","instagram","transformations","Story: ""Swipe up... wait, swipe forward for after."" Before frame → After frame → ""Results vary. Consent on file. Questions? DM us.""","story","DM us or book a cosmetic consult","mof","veneers","organic","en","transformation","IMAGE-ONLY Instagram Story still(s) - static frames, no video clips. IG Stories cutdown of Monday B&A. Same consent rules. Add poll: ""Would you want to see more smile journeys?"" Yes/Not yet. Disclaimer sticker: results vary. CTA: DM or book cosmetic consult. Do not add timeline text overlays.","consented before and after stills only","people","ai-image","patient-consent; disclaimer-results-vary; no-timeline-promises; no-guaranteed-results","w3-tue-story-ba-swipe"
"Wed 2026-08-26","3","2026-08-26","instagram; facebook","education","On-screen: ""What actually happens at a first Invisalign visit."" Beat 1: welcome. Beat 2: photos/scan vibe (no graphic close-ups of distress). Beat 3: ""Then we talk options - no pressure.""","static","Book a first visit or try SmileView","tof","invisalign","organic","both","behind-the-scenes","IMAGE-ONLY static feed post (no video). Organic static image. walkthrough of a first Invisalign visit at LE 32. photograph empty chair + staff hands + tablet SmileView moment; avoid identifiable patients unless consented. Educational BTS tone. Do not promise case acceptance or treatment length. CTA: book a first visit or try SmileView online. Local geotag. Language: both. Strong repurposing master for Stories + GBP later. Generate AI image from imageHints + subjectMode, then bilingual caption. Do not create video or Reels.","modern operatory, scanner or tablet in hand, calm lighting, no distressed patient","service","ai-image","patient-consent; no-timeline-promises; no-guaranteed-results","w3-wed-first-invisalign-visit"
"Thu 2026-08-27","3","2026-08-27","instagram","local","Story shoutout template: ""Local love - tagging [partner only if agreed]."" Fallback if no partner: ""Weekend in Vaudreuil - tag us in your smile photos (we'll ask before resharing).""","story","Tag us in your local smile photos","tof","smile-makeover","organic","en","local-trust","IMAGE-ONLY Instagram Story still(s) - static frames, no video clips. IG Stories local/community. Only tag a real partner (bridal, gym, wellness, youth sports) after agreement. Otherwise use UGC prompt: neighbours can tag LE 32; clinic will request consent before reshare. No clinical claims in partner content. CTA: tag @dr.elizabeth.peeling / clinic handle. Keep it human.","Vaudreuil downtown or park atmosphere, golden hour, lifestyle not clinical","random","ai-image","patient-consent; no-invented-reviews","w3-thu-story-community"
"Fri 2026-08-28","3","2026-08-28","instagram; facebook","conversion","Headline: ""Curious how aligners could look on your smile?"" Sub: ""Start with SmileView - then talk it through with Dr. Peeling.""","static","Try SmileView, then book a consult","bof","invisalign","organic","both","soft-cta","IMAGE-ONLY static post. Organic static soft CTA for Invisalign SmileView. Position simulation as a conversation starter, not a diagnosis or guaranteed preview of final results. CTA: try SmileView link + book consult at LE 32 Vaudreuil-Dorion. No timeline promises. Language: both. Studio: soft-cta angle. Pair with AI hand-holding-phone SmileView aesthetic or real phone screenshot without patient PHI.","hands holding phone with smile simulation vibe, soft neutral background, no readable PHI","service","phone-photo-or-ai","no-guaranteed-results; no-timeline-promises; disclaimer-results-vary","w3-fri-smileview-cta"
"Mon 2026-08-31","4","2026-08-31","instagram; facebook","transformations","Hook: ""Late-summer photos hit different when you're not editing your smile out."" Quick cuts: patio, lake-adjacent West Island light, natural laugh.","static","Book a whitening consult or smile assessment","tof","whitening","organic","both","seasonal","IMAGE-ONLY static feed post (no video). Organic static image. seasonal (late summer / back-to-routine). Whitening or general smile confidence - keep optional path open (whitening consult, or broader smile consult). No ""whiter in 1 hour"" claims. Local lifestyle imagery energy for Vaudreuil / West Island. CTA: book a whitening consult or smile assessment at LE 32. Language: both. Disclaimer: results vary. Generate AI image from imageHints + subjectMode, then bilingual caption. Do not create video or Reels.","late-summer outdoor lifestyle, natural laugh, West Island light, non-identifiable or consented","people","ai-image","no-guaranteed-results; disclaimer-results-vary","w4-mon-seasonal-photos"
"Tue 2026-09-01","4","2026-09-01","google-business","education","GBP: ""Myth: implants are only for seniors."" Truth angle: adults of many ages explore implants after injury, decay, or long-time missing teeth - a consult decides fit.","static","Call or book an implant consult","tof","implants","organic","both","myth-bust","IMAGE-ONLY static post. GBP myth-bust on dental implants age myth. Inclusive of working-age adults. No fear marketing. Invite consult with Dr. Elizabeth Peeling at LE 32 in Vaudreuil-Dorion. CTA: call or book. Short bilingual-capable copy. No surgical gore imagery.","clean educational still, implant model on neutral surface, professional not graphic","service","phone-photo-or-ai","no-guaranteed-results; no-timeline-promises","w4-tue-gbp-implants"
"Tue 2026-09-01","4","2026-09-01","instagram","bts","""Meet the faces behind your visit"" - quick intros of willing staff (first name + role). Final frame: Dr. Peeling.","story","Book with the LE 32 team","tof","smile-makeover","organic","en","behind-the-scenes","IMAGE-ONLY Instagram Story still(s) - static frames, no video clips. IG Stories team culture. Only staff who agree to appear. Keep light: name, role, one fun fact (coffee order / favourite Vaudreuil lunch spot). No patient PHI in background. CTA: ""Book with a team that remembers you."" Human trust builder.","staff portraits in clinic, natural smiles, consented team only","people","ai-image","patient-consent","w4-tue-story-team"
"Wed 2026-09-02","4","2026-09-02","instagram; facebook","education","Slide 1: ""Implant vs bridge - not a TikTok verdict."" Slide 2: ""What we compare in a consult."" Slide 3: ""Neighbouring teeth."" Slide 4: ""Bone and gum health."" Slide 5: ""Your goals and timeline (individual).""","carousel","Book a consult to compare options","tof","implants","organic","both","myth-bust","IMAGE-ONLY carousel (still slides, no video). Organic education carousel. Balanced implant vs bridge comparison without crowning one winner. Emphasize personalized assessment at LE 32. No fear tactics, no guaranteed longevity numbers unless dentist approves specific compliant wording. CTA: book a consult to compare options. Language: both. Good AI-assisted typography carousel.","clean educational carousel covers, soft clinical palette, no gore","service","ai-or-design","no-guaranteed-results; no-timeline-promises; odq-review-before-publish","w4-wed-implant-vs-bridge"
"Thu 2026-09-03","4","2026-09-03","instagram","social-proof","3-frame cutdown of Week 1 testimonial: best soundbite → ""Why I booked"" → poll ""Thinking about aligners?""","story","Tap to book or try SmileView","mof","invisalign","organic","en","social-proof","IMAGE-ONLY Instagram Story still(s) - static frames, no video clips. IG Stories repurpose of consented testimonial Reel. Same consent file. Poll sticker for engagement. CTA: link sticker to booking or SmileView. No new clinical claims in stickers.","frames from consented testimonial reel","people","ai-image","patient-consent; no-invented-reviews; disclaimer-results-vary","w4-thu-story-testimonial-cut"
"Fri 2026-09-04","4","2026-09-04","instagram; facebook","conversion","Talking-head or text-hook: ""If you've been screenshotting smile ideas for months - this is your sign to ask real questions in a consult."" Not a limited-time medical sale.","static","Book online or call LE 32","bof","smile-makeover","organic","both","soft-cta","IMAGE-ONLY static feed post (no video). Organic static image. soft conversion closing the 4-week cycle. Invite a comprehensive smile consult covering Invisalign, veneers/whitening, or implants as relevant - without bundling fake urgency or ""limited spots"" clinical pressure. Mention LE 32, Dr. Elizabeth Peeling, Vaudreuil-Dorion / West Island. Optional: Beautifi may be available (no rates). CTA: book online or call. Language: both. Keep warm and human per studio voice (no emojis, no em dashes). ODQ review before publish. Generate AI image from imageHints + subjectMode, then bilingual caption. Do not create video or Reels.","Dr. Peeling or clinic hero still if consented, otherwise warm reception + soft smile lifestyle","people","ai-image","financing-no-rates; no-guaranteed-results; no-timeline-promises; odq-review-before-publish","w4-fri-consult-cta"
